"label","samples","rms","normalized_rms"
"AD",40,3.48322271576846,0.482746633788962
"AF",40,2.81130019934491,0.389623580961456
"AG",39,4.6455444029344,0.643835064717927
"AH",37,4.64243352995805,0.643403922761175
"AI",40,2.15558986376896,0.298747405916162
"AO",40,4.66352554205269,0.646327105879048
"AP",40,4.85374424393344,0.672689886990039
"AR",40,1.12849917990648,0.156400903642267
"AS",39,4.39796291263164,0.609522262814376
"AT",40,3.31855210468406,0.459924612439281
"AU",39,1.57486051997299,0.218262992849244
"AW",40,6.33873807492812,0.878498080036318
"AX",40,5.0259727021135,0.696559365118067
"AZ",41,5.29251978093601,0.733500644946469
"BC",40,1.78186961937229,0.246952787919282
"BD",40,2.00813574958536,0.278311452470456
"BE",40,4.87828537312632,0.676091089977609
"BF",40,5.0067688717769,0.693897868794885
"BG",40,5.08410982036247,0.704616701792472
"BH",38,4.24867212094341,0.588831760648974
"BI",40,1.02071322723597,0.141462638114234
"BK",40,6.431648839375,0.891374764199075
