"dataset","classifier","M","total_runs","available_edges","sampled_edges","prefix_rmse_to_M100","prefix_correlation_to_M100","independent_pair_count","independent_pair_rmse","independent_pair_correlation","worst_case_agreement_se","worst_case_pairwise_rmse"
"MetRef","knn",10,100,87300,87300,0.137688119776566,0.899789484126424,5,0.174260191430802,0.814486320065481,0.158113883008419,0.223606797749979
"MetRef","knn",20,100,87300,87300,0.0783449212749376,0.958612903952524,2,0.115835809160102,0.907475243912735,0.111803398874989,0.158113883008419
"MetRef","knn",50,100,87300,87300,0.0406623004810644,0.988793610142156,1,0.0813246009621288,0.95579053020839,0.0707106781186548,0.1
"MetRef","knn",100,100,87300,87300,0,1,0,NA,NA,0.05,0.0707106781186548
"MetRef","pls_lda",10,100,87300,87300,0.0587972227410603,0.987119440861646,5,0.092316069876841,0.968598917555034,0.158113883008419,0.223606797749979
"MetRef","pls_lda",20,100,87300,87300,0.0452716757776924,0.992224725356135,2,0.0704584869602825,0.981333075923715,0.111803398874989,0.158113883008419
"MetRef","pls_lda",50,100,87300,87300,0.0180432216221577,0.998750622302491,1,0.0360864432443155,0.99501339002461,0.0707106781186548,0.1
"MetRef","pls_lda",100,100,87300,87300,0,1,0,NA,NA,0.05,0.0707106781186548
"USPS","knn",10,100,1100000,100000,0.10111309509653,0.955665745252878,5,0.144882812210886,0.913238633740556,0.158113883008419,0.223606797749979
"USPS","knn",20,100,1100000,100000,0.0616721817353659,0.983202704182521,2,0.100319409725889,0.956505716429094,0.111803398874989,0.158113883008419
"USPS","knn",50,100,1100000,100000,0.0318536340156033,0.995460709416546,1,0.0637072680312066,0.981962246424953,0.0707106781186548,0.1
"USPS","knn",100,100,1100000,100000,0,1,0,NA,NA,0.05,0.0707106781186548
"USPS","pls_lda",10,100,1100000,100000,0.119074027394726,0.933595221069297,5,0.169659229771739,0.870073038788706,0.158113883008419,0.223606797749979
"USPS","pls_lda",20,100,1100000,100000,0.0803346376104355,0.968360076211686,2,0.122468061095799,0.9278527899731,0.111803398874989,0.158113883008419
"USPS","pls_lda",50,100,1100000,100000,0.0380495466464451,0.992637791005949,1,0.0760990932928901,0.970830390741911,0.0707106781186548,0.1
"USPS","pls_lda",100,100,1100000,100000,0,1,0,NA,NA,0.05,0.0707106781186548
